num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
50,50,50,100,0.078,10.026,7.5,0.1
50,50,50,250,0.078,10.026,2.8,0.1
50,50,50,500,0.078,10.026,3.0,0.1
50,50,50,800,0.078,10.026,2.9,0.1
50,50,100,100,0.134,10.026,9.5,0.1
50,50,100,250,0.134,10.026,2.8,0.1
50,50,100,500,0.134,10.026,2.8,0.1
50,50,100,800,0.134,10.026,2.7,0.1
50,50,250,100,0.117,10.026,8.1,0.2
50,50,250,250,0.117,10.026,2.0,0.2
50,50,250,500,0.117,10.026,2.0,0.2
50,50,250,800,0.117,10.026,2.0,0.2
50,50,50,100,0.078,10.026,7.6,7.6
50,50,50,250,0.078,10.026,3.0,3.0
50,50,50,500,0.078,10.026,3.1,3.1
50,50,50,800,0.078,10.026,3.0,3.0
50,50,100,100,0.134,10.026,8.1,8.1
50,50,100,250,0.134,10.026,2.9,2.9
50,50,100,500,0.134,10.026,2.9,2.9
50,50,100,800,0.134,10.026,2.8,2.8
50,50,250,100,0.117,10.026,5.8,5.8
50,50,250,250,0.117,10.026,2.1,2.1
50,50,250,500,0.117,10.026,2.0,2.0
50,50,250,800,0.117,10.026,1.9,1.9
50,50,500,100,0.194,10.026,8.8,8.8
50,50,500,250,0.194,10.026,3.3,3.3
50,50,500,500,0.194,10.026,3.3,3.3
50,50,500,800,0.194,10.026,3.4,3.4
50,50,800,100,0.176,10.026,11.5,11.5
50,50,800,250,0.176,10.026,5.1,5.1
50,50,800,500,0.176,10.026,5.0,5.0
50,50,800,800,0.176,10.026,5.4,5.4
50,50,1250,100,0.341,10.026,15.0,15.0
50,50,1250,250,0.341,10.026,8.8,8.8
50,50,1250,500,0.341,10.026,8.6,8.6
50,50,1250,800,0.341,10.026,8.3,8.3
50,100,50,100,0.157,10.026,7.4,7.4
50,100,50,250,0.157,10.026,2.8,2.8
50,100,50,500,0.157,10.026,2.9,2.9
50,100,50,800,0.157,10.026,2.9,2.9
50,100,100,100,0.232,10.026,10.5,10.5
50,100,100,250,0.232,10.026,2.1,2.1
50,100,100,500,0.232,10.026,2.0,2.0
50,100,100,800,0.232,10.026,1.9,1.9
50,100,250,100,0.254,10.026,8.8,8.8
50,100,250,250,0.254,10.026,3.9,3.9
50,100,250,500,0.254,10.026,4.0,4.0
50,100,250,800,0.254,10.026,3.8,3.8
50,100,500,100,0.386,10.026,9.0,9.0
50,100,500,250,0.386,10.026,2.9,2.9
50,100,500,500,0.386,10.026,2.9,2.9
50,100,500,800,0.386,10.026,2.7,2.7
50,100,800,100,0.353,10.026,12.4,12.4
50,100,800,250,0.353,10.026,6.5,6.5
50,100,800,500,0.353,10.026,6.5,6.5
50,100,800,800,0.353,10.026,6.5,6.5
50,100,1250,100,0.668,10.026,18.0,18.0
50,100,1250,250,0.668,10.026,12.8,12.8
50,100,1250,500,0.668,10.026,11.5,11.5
50,100,1250,800,0.668,10.026,10.4,10.4
50,250,50,100,0.202,10.026,8.1,8.1
50,250,50,250,0.202,10.026,2.3,2.3
50,250,50,500,0.202,10.026,2.4,2.4
50,250,50,800,0.202,10.026,2.4,2.4
50,250,100,100,0.308,10.026,9.7,9.7
50,250,100,250,0.308,10.026,2.2,2.2
50,250,100,500,0.308,10.026,2.1,2.1
50,250,100,800,0.308,10.026,2.1,2.1
50,250,250,100,0.394,10.026,8.4,8.4
50,250,250,250,0.394,10.026,2.5,2.5
